No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Essam El-Hadary (captain),15 January 1973 (aged 45),158,0,Al-Taawoun
2,DF,Ali Gabr,1 January 1989 (aged 29),21,1,West Bromwich Albion
3,DF,Ahmed Elmohamady,9 September 1987 (aged 30),78,2,Aston Villa
4,MF,Omar Gaber,30 January 1992 (aged 26),24,0,Los Angeles FC
5,MF,Sam Morsy,10 September 1991 (aged 26),5,0,Wigan Athletic
6,DF,Ahmed Hegazi,25 January 1991 (aged 27),45,1,West Bromwich Albion
7,DF,Ahmed Fathy,10 November 1984 (aged 33),126,3,Al Ahly
8,MF,Tarek Hamed,24 October 1988 (aged 29),21,0,Zamalek
9,FW,Marwan Mohsen,26 February 1989 (aged 29),24,4,Al Ahly
10,FW,Mohamed Salah,15 June 1992 (aged 25),57,33,Liverpool
11,FW,Kahraba,13 April 1994 (aged 24),19,3,Al-Ittihad
12,DF,Ayman Ashraf,9 April 1991 (aged 27),4,0,Al Ahly
13,DF,Mohamed Abdel-Shafy,1 July 1985 (aged 32),51,1,Al-Fateh
14,FW,Ramadan Sobhi,23 January 1997 (aged 21),23,1,Stoke City
15,DF,Mahmoud Hamdy,1 June 1995 (aged 23),0,0,Zamalek
16,GK,Sherif Ekramy,10 July 1983 (aged 34),22,0,Al Ahly
17,MF,Mohamed Elneny,11 July 1992 (aged 25),61,5,Arsenal
18,FW,Shikabala,5 March 1986 (aged 32),29,2,Al-Raed
19,MF,Abdallah Said,13 July 1985 (aged 32),36,6,KuPS
20,DF,Saad Samir,1 April 1989 (aged 29),11,0,Al Ahly
21,MF,Trézéguet,1 October 1994 (aged 23),24,2,Kasımpaşa
22,FW,Amr Warda,17 September 1993 (aged 24),16,0,Atromitos
23,GK,Mohamed El-Shenawy,18 December 1988 (aged 29),3,0,Al Ahly
