No.,Pos.,Player,Date of birth (age),Caps,Goals,Club
1,GK,Alisson,2 October 1992 (aged 25),26,0,Roma
2,DF,Thiago Silva,22 September 1984 (aged 33),71,5,Paris Saint-Germain
3,DF,Miranda,7 September 1984 (aged 33),47,2,Inter Milan
4,DF,Pedro Geromel,21 September 1985 (aged 32),2,0,Grêmio
5,MF,Casemiro,23 February 1992 (aged 26),24,0,Real Madrid
6,DF,Filipe Luís,9 August 1985 (aged 32),33,2,Atlético Madrid
7,FW,Douglas Costa,14 September 1990 (aged 27),25,3,Juventus
8,MF,Renato Augusto,8 February 1988 (aged 30),28,5,Beijing Sinobo Guoan
9,FW,Gabriel Jesus,3 April 1997 (aged 21),17,10,Manchester City
10,FW,Neymar,5 February 1992 (aged 26),85,55,Paris Saint-Germain
11,MF,Philippe Coutinho,12 June 1992 (aged 26),37,10,Barcelona
12,DF,Marcelo (captain),12 May 1988 (aged 30),54,6,Real Madrid
13,DF,Marquinhos,14 May 1994 (aged 24),26,0,Paris Saint-Germain
14,DF,Danilo,15 July 1991 (aged 26),18,0,Manchester City
15,MF,Paulinho,25 July 1988 (aged 29),50,12,Barcelona
16,GK,Cássio,6 June 1987 (aged 31),1,0,Corinthians
17,MF,Fernandinho,4 May 1985 (aged 33),44,2,Manchester City
18,MF,Fred,5 March 1993 (aged 25),8,0,Shakhtar Donetsk
19,MF,Willian,9 August 1988 (aged 29),57,8,Chelsea
20,FW,Roberto Firmino,2 October 1991 (aged 26),21,6,Liverpool
21,FW,Taison,13 January 1988 (aged 30),8,1,Shakhtar Donetsk
22,DF,Fagner,11 June 1989 (aged 29),4,0,Corinthians
23,GK,Ederson,17 August 1993 (aged 24),1,0,Manchester City
